bundle chunks = 21  key = eyJhbGciOiJIUzI1NiIsInR5cCI6Ik…

===== pos_print_jobs（最近 24h，按 created_at desc）=====
status 200
筆數 = 58
2026-09-24 18:55:46 | print-5299968d | oid=order-2dc96a10 no=訂單19 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:gi1cg4 | claim=2026-09-24 18:55:47 done=2026-09-24 18:55:48 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 18:32:17 | print-d2b617a3 | oid=ledger-4b0efbd2-d3e5-4e1b-8045-721d4aedaf7c no=007 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:xl295z | claim=2026-09-24 18:32:18 done=2026-09-24 18:32:19 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 17:47:34 | print-d39dbcfb | oid=order-ca18cff0 no=訂單07 | normal/receipt/小票機 · 通用 80mm 熱敏打印機 | st=printed att=0 | once=null | claim=2026-09-24 17:47:35 done=2026-09-24 17:47:36 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 14:24:44 | print-a1948640 | oid=order-ae93dc28 no=訂單18 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:g49oz0 | claim=2026-09-24 14:24:44 done=2026-09-24 14:24:45 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 14:17:54 | print-fdc09237 | oid=order-e8715fdf no=訂單17 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:um1dvj | claim=2026-09-24 14:17:55 done=2026-09-24 14:17:55 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 14:09:55 | print-ba909894 | oid=order-0cb6d157 no=訂單16 | addon/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 14:09:56 done=2026-09-24 14:09:56 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 14:09:14 | print-d7827697 | oid=order-0cb6d157 no=訂單16 | void/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 14:09:14 done=2026-09-24 14:09:15 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 14:03:46 | print-75d6ce79 | oid=order-b1d03f97 no=訂單15 | normal/receipt/小票機 · 通用 80mm 熱敏打印機 | st=printed att=0 | once=null | claim=2026-09-24 14:03:47 done=2026-09-24 14:03:48 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 13:57:03 | print-6ef66484 | oid=order-0cb6d157 no=訂單16 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:m6b869 | claim=2026-09-24 13:57:04 done=2026-09-24 13:57:05 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 13:45:59 | print-7ea722c1 | oid=ledger-7f156cfb-ee36-4b18-aa32-948e6bc8cf47 no=006 | normal/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 13:45:59 done=2026-09-24 13:46:00 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 13:41:35 | print-504210e5 | oid=order-b1d03f97 no=訂單15 | void/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 13:41:36 done=2026-09-24 13:41:36 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 13:39:31 | print-790afdfe | oid=order-b1d03f97 no=訂單15 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:ucti4o | claim=2026-09-24 13:39:32 done=2026-09-24 13:39:33 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 13:31:49 | print-987fdbea | oid=ledger-7b295237-0a9c-4c78-9b66-01390806559f no=003 | addon/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 13:31:50 done=2026-09-24 13:31:50 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 13:30:53 | print-40f79cb6 | oid=order-c5c907fd no=訂單14 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:1lrejef | claim=2026-09-24 13:30:54 done=2026-09-24 13:30:54 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 13:29:54 | print-da6bc468 | oid=ledger-7f156cfb-ee36-4b18-aa32-948e6bc8cf47 no=006 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:1gnn003 | claim=2026-09-24 13:30:38 done=2026-09-24 13:30:39 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 13:24:03 | print-5dcbb69d | oid=ledger-7e5579c8-b75b-44ee-abdb-4aff0996547b no=004 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:1h7x2d8 | claim=2026-09-24 13:24:04 done=2026-09-24 13:24:04 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 13:23:39 | print-93eecf2e | oid=ledger-12f1e6a8-dbd7-41ac-b9af-65602773db3d no=005 | normal/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 13:23:40 done=2026-09-24 13:23:40 | err=- | items= | storeName=表嫂美食 | orderTime=-
